epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8789,1.25525,2.13982,1.1467,0.7926,0.64874,0.80096,0.54883,1.1607,0.97375,0.95443,0.000206989,0.000206989,0.000206989
2,118.45,1.0779,0.89675,1.02492,0.80626,0.77129,0.86186,0.59233,1.08719,0.85724,0.93362,0.000411211,0.000411211,0.000411211
3,177.251,1.04078,0.799,1.02023,0.85941,0.84231,0.9155,0.62042,1.07714,0.74649,0.95082,0.000611308,0.000611308,0.000611308
4,244.054,1.03945,0.76144,1.02457,0.89816,0.83776,0.92545,0.63528,1.0892,0.69153,0.96875,0.000606437,0.000606437,0.000606437
5,302.326,1.00641,0.68141,1.01705,0.92369,0.87741,0.93312,0.65278,1.05622,0.67478,0.95151,0.00060025,0.00060025,0.00060025
6,361.063,0.96229,0.62301,1.0005,0.89964,0.866,0.93096,0.66858,1.03281,0.64564,0.94552,0.000594062,0.000594062,0.000594062
7,417.317,0.97041,0.613,1.00266,0.91771,0.87965,0.94812,0.68051,1.00454,0.61046,0.9392,0.000587875,0.000587875,0.000587875
8,474.291,0.93142,0.59609,0.98812,0.91076,0.88185,0.94249,0.66377,1.02486,0.61525,0.94842,0.000581687,0.000581687,0.000581687
9,530.698,0.92783,0.5791,0.99235,0.92189,0.88463,0.93993,0.68634,0.98886,0.57944,0.94448,0.0005755,0.0005755,0.0005755
10,589.076,0.91695,0.57053,0.98743,0.93626,0.90315,0.9489,0.69603,0.97133,0.57325,0.92991,0.000569313,0.000569313,0.000569313
11,646.817,0.91284,0.56005,0.98284,0.92775,0.91175,0.95354,0.69722,0.98063,0.5602,0.94191,0.000563125,0.000563125,0.000563125
12,708.632,0.91686,0.5554,0.9916,0.90242,0.91837,0.94917,0.69575,0.96845,0.57025,0.93715,0.000556938,0.000556938,0.000556938
13,765.179,0.91014,0.5386,0.99363,0.93283,0.9143,0.9565,0.69531,0.95334,0.55097,0.9388,0.00055075,0.00055075,0.00055075
