                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5565,                 3.5566,                 1.1949,                0.36877,                0.27534,                0.20527,                0.12587,                 1.3428,                 2.4737,                0.96814,             0.00020699,             0.00020699,             0.00020699
                      2,                 1.2096,                 1.9779,                 1.0159,                0.53844,                0.48102,                0.45493,                0.29584,                   1.31,                 1.6549,                0.94271,             0.00041121,             0.00041121,             0.00041121
                      3,                 1.1797,                 1.5285,                 1.0107,                0.72499,                0.56451,                0.62876,                0.43091,                 1.1906,                 1.2193,                0.91564,             0.00061131,             0.00061131,             0.00061131
                      4,                 1.0982,                 1.2538,                0.99207,                0.87515,                0.57798,                0.73775,                 0.5242,                 1.1629,                 1.0107,                0.90916,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.0812,                 1.0998,                0.98454,                0.84289,                0.62765,                0.79397,                0.55642,                 1.1344,                0.98716,                0.90039,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.0664,                 1.0278,                0.97968,                0.85437,                0.70243,                0.84305,                0.57977,                 1.1138,                0.87652,                0.90222,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.0131,                0.90962,                 0.9657,                0.82114,                0.80191,                0.87799,                0.61782,                 1.0712,                 0.8288,                0.90429,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.0261,                0.89499,                0.96168,                0.88316,                0.75921,                0.87176,                0.62107,                 1.0886,                 0.8018,                0.89452,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.0004,                0.85001,                0.96269,                0.85594,                0.81867,                0.89388,                0.63746,                 1.0595,                0.77953,                0.89413,              0.0005755,              0.0005755,              0.0005755
                     10,                0.99158,                 0.7998,                0.96287,                0.87587,                0.84198,                 0.9049,                0.63601,                  1.057,                0.78387,                0.89654,             0.00056931,             0.00056931,             0.00056931
                     11,                0.98896,                0.77043,                0.95668,                0.90711,                0.80722,                 0.9061,                0.64699,                 1.0537,                0.73496,                0.89077,             0.00056313,             0.00056313,             0.00056313
                     12,                0.97926,                0.74241,                 0.9534,                0.84098,                0.85269,                0.90712,                0.63497,                 1.0459,                 0.7541,                0.89598,             0.00055694,             0.00055694,             0.00055694
                     13,                0.97607,                0.75184,                0.95131,                0.87765,                0.84174,                0.91576,                0.65748,                 1.0172,                0.72498,                0.88239,             0.00055075,             0.00055075,             0.00055075
                     14,                0.94915,                0.71726,                0.94637,                0.87413,                0.82464,                0.91617,                0.65327,                 1.0201,                0.71058,                 0.8835,             0.00054456,             0.00054456,             0.00054456
                     15,                0.95017,                0.70709,                 0.9408,                0.89889,                0.84147,                0.92097,                0.64461,                  1.033,                0.71088,                0.88816,             0.00053838,             0.00053838,             0.00053838
